,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
10,"{'assigned_arms': [32, 34, 29], 'chosen_arm': [29], 'payoff': [np.float64(8.57)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(0.44)]}","{'assigned_arms': [3, 5], 'chosen_arm': [5], 'payoff': [np.float64(93.75)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(63.18)]}","{'assigned_arms': [48, 4, 1, 20], 'chosen_arm': [4], 'payoff': [np.float64(34.07)]}","{'assigned_arms': [21, 22], 'chosen_arm': [21], 'payoff': [np.float64(31.65)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(57.06)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(63.08)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(38.7)]}","{'assigned_arms': [17, 24, 44, 19], 'chosen_arm': [17], 'payoff': [np.float64(94.89)]}","{'assigned_arms': [10, 33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [26, 39, 25], 'chosen_arm': [26], 'payoff': [np.float64(82.59)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(27.88)]}","{'assigned_arms': [31, 42], 'chosen_arm': [42], 'payoff': [np.float64(45.8)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(53.04)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(71.88)]}","{'assigned_arms': [49, 6, 40], 'chosen_arm': [40], 'payoff': [np.float64(20.82)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(12.99)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(34.49)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(85.23)]}","{'assigned_arms': [14, 16], 'chosen_arm': [16], 'payoff': [np.float64(76.89)]}","{'assigned_arms': [13, 35], 'chosen_arm': [13], 'payoff': [np.float64(8.42)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(75.91)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(70.61)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(97.11)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(10.66)]}","{'assigned_arms': [23, 41, 30], 'chosen_arm': [23], 'payoff': [np.float64(71.68)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(56.03)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}",52.913999999999994
11,"{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(20.92)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(5.43)]}","{'assigned_arms': [5, 31], 'chosen_arm': [5], 'payoff': [np.float64(86.26)]}","{'assigned_arms': [19, 0, 36], 'chosen_arm': [36], 'payoff': [np.float64(86.0)]}","{'assigned_arms': [34, 43], 'chosen_arm': [43], 'payoff': [np.float64(94.9)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(81.71)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [37, 40], 'chosen_arm': [37], 'payoff': [np.float64(62.05)]}","{'assigned_arms': [48, 20], 'chosen_arm': [20], 'payoff': [np.float64(15.5)]}","{'assigned_arms': [21, 11], 'chosen_arm': [21], 'payoff': [np.float64(25.19)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(58.97)]}","{'assigned_arms': [47, 23], 'chosen_arm': [23], 'payoff': [np.float64(71.75)]}","{'assigned_arms': [6, 42], 'chosen_arm': [6], 'payoff': [np.float64(56.3)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(86.35)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(85.83)]}","{'assigned_arms': [4, 28], 'chosen_arm': [28], 'payoff': [np.float64(73.01)]}","{'assigned_arms': [13, 1], 'chosen_arm': [1], 'payoff': [np.float64(76.89)]}","{'assigned_arms': [2, 26], 'chosen_arm': [26], 'payoff': [np.float64(82.7)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(50.87)]}","{'assigned_arms': [44, 46], 'chosen_arm': [44], 'payoff': [np.float64(40.59)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(11.67)]}","{'assigned_arms': [32, 41], 'chosen_arm': [32], 'payoff': [np.float64(79.18)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(55.82)]}","{'assigned_arms': [24, 35], 'chosen_arm': [24], 'payoff': [np.float64(66.26)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(46.1)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(93.26)]}","{'assigned_arms': [25, 9], 'chosen_arm': [9], 'payoff': [np.float64(36.42)]}","{'assigned_arms': [30, 22, 14, 15], 'chosen_arm': [30], 'payoff': [np.float64(60.27)]}","{'assigned_arms': [12, 18], 'chosen_arm': [18], 'payoff': [np.float64(93.56)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(91.1)]}",59.82866666666666
12,"{'assigned_arms': [42, 35], 'chosen_arm': [42], 'payoff': [np.float64(32.25)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(68.85)]}","{'assigned_arms': [29, 14], 'chosen_arm': [14], 'payoff': [np.float64(7.96)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(84.72)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(38.48)]}","{'assigned_arms': [30, 1, 25, 19], 'chosen_arm': [19], 'payoff': [np.float64(29.44)]}","{'assigned_arms': [37, 44, 0], 'chosen_arm': [37], 'payoff': [np.float64(66.49)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(26.12)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(71.51)]}","{'assigned_arms': [20, 3], 'chosen_arm': [3], 'payoff': [np.float64(99.78)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(41.11)]}","{'assigned_arms': [5, 15], 'chosen_arm': [5], 'payoff': [np.float64(93.58)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(87.25)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(28.8)]}","{'assigned_arms': [43, 10], 'chosen_arm': [43], 'payoff': [np.float64(97.53)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(34.45)]}","{'assigned_arms': [45, 24, 8], 'chosen_arm': [24], 'payoff': [np.float64(60.04)]}","{'assigned_arms': [12, 36], 'chosen_arm': [36], 'payoff': [np.float64(79.75)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(74.06)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(70.75)]}","{'assigned_arms': [33, 38], 'chosen_arm': [38], 'payoff': [np.float64(46.32)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(60.39)]}","{'assigned_arms': [46, 18, 6], 'chosen_arm': [18], 'payoff': [np.float64(99.82)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(74.22)]}","{'assigned_arms': [40, 26, 23], 'chosen_arm': [26], 'payoff': [np.float64(83.64)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(51.97)]}","{'assigned_arms': [31, 9], 'chosen_arm': [9], 'payoff': [np.float64(45.77)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(52.86)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(50.68)]}","{'assigned_arms': [11, 13], 'chosen_arm': [13], 'payoff': [np.float64(16.26)]}",59.16166666666667
13,"{'assigned_arms': [13, 21, 35], 'chosen_arm': [13], 'payoff': [np.float64(23.19)]}","{'assigned_arms': [16, 45, 3], 'chosen_arm': [3], 'payoff': [np.float64(88.45)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(11.89)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(38.94)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(45.51)]}","{'assigned_arms': [6, 12, 37], 'chosen_arm': [12], 'payoff': [np.float64(76.06)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(30.28)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(1.6)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(60.15)]}","{'assigned_arms': [27, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [33, 40], 'chosen_arm': [40], 'payoff': [np.float64(23.41)]}","{'assigned_arms': [7, 2, 41], 'chosen_arm': [2], 'payoff': [np.float64(58.0)]}","{'assigned_arms': [10, 9], 'chosen_arm': [9], 'payoff': [np.float64(45.56)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(94.26)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(78.39)]}","{'assigned_arms': [29, 11], 'chosen_arm': [29], 'payoff': [np.float64(5.96)]}","{'assigned_arms': [4, 8], 'chosen_arm': [8], 'payoff': [np.float64(60.62)]}","{'assigned_arms': [1, 26], 'chosen_arm': [26], 'payoff': [np.float64(91.46)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(61.98)]}","{'assigned_arms': [38, 19, 20], 'chosen_arm': [38], 'payoff': [np.float64(29.55)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(10.9)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(40.27)]}","{'assigned_arms': [36, 49], 'chosen_arm': [36], 'payoff': [np.float64(92.22)]}","{'assigned_arms': [46, 32], 'chosen_arm': [46], 'payoff': [np.float64(82.9)]}","{'assigned_arms': [48, 31], 'chosen_arm': [31], 'payoff': [np.float64(35.15)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(76.37)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(65.4)]}","{'assigned_arms': [42, 0], 'chosen_arm': [0], 'payoff': [np.float64(32.28)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(96.5)]}",55.241666666666674
14,"{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(1.17)]}","{'assigned_arms': [49, 7], 'chosen_arm': [7], 'payoff': [np.float64(55.03)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(47.21)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(88.96)]}","{'assigned_arms': [5, 11, 3, 17], 'chosen_arm': [17], 'payoff': [np.float64(97.99)]}","{'assigned_arms': [40, 23], 'chosen_arm': [40], 'payoff': [np.float64(30.67)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(84.93)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(93.65)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(75.57)]}","{'assigned_arms': [8, 33], 'chosen_arm': [8], 'payoff': [np.float64(75.11)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(88.48)]}","{'assigned_arms': [21, 30], 'chosen_arm': [21], 'payoff': [np.float64(35.33)]}","{'assigned_arms': [6, 10], 'chosen_arm': [10], 'payoff': [np.float64(34.02)]}","{'assigned_arms': [0, 48, 47], 'chosen_arm': [48], 'payoff': [np.float64(58.28)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(60.25)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(49.96)]}","{'assigned_arms': [29, 44], 'chosen_arm': [29], 'payoff': [np.float64(12.51)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(15.18)]}","{'assigned_arms': [14, 45], 'chosen_arm': [14], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [39, 32, 35], 'chosen_arm': [39], 'payoff': [np.float64(87.66)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(65.14)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(68.65)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(47.32)]}","{'assigned_arms': [4, 19, 9], 'chosen_arm': [4], 'payoff': [np.float64(24.38)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(83.14)]}","{'assigned_arms': [20, 22, 42], 'chosen_arm': [20], 'payoff': [np.float64(12.86)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(63.16)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(95.94)]}","{'assigned_arms': [1, 28], 'chosen_arm': [28], 'payoff': [np.float64(70.15)]}","{'assigned_arms': [31, 13], 'chosen_arm': [31], 'payoff': [np.float64(17.89)]}",54.686333333333344
15,"{'assigned_arms': [40, 1, 7], 'chosen_arm': [40], 'payoff': [np.float64(25.39)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(25.35)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(41.11)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(85.79)]}","{'assigned_arms': [22, 13], 'chosen_arm': [22], 'payoff': [np.float64(42.15)]}","{'assigned_arms': [42, 34], 'chosen_arm': [42], 'payoff': [np.float64(39.26)]}","{'assigned_arms': [21, 15], 'chosen_arm': [21], 'payoff': [np.float64(30.14)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(99.1)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(23.31)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(58.8)]}","{'assigned_arms': [2, 41, 48], 'chosen_arm': [2], 'payoff': [np.float64(69.64)]}","{'assigned_arms': [11, 19], 'chosen_arm': [19], 'payoff': [np.float64(42.52)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(56.99)]}","{'assigned_arms': [8, 36, 28], 'chosen_arm': [36], 'payoff': [np.float64(86.32)]}","{'assigned_arms': [45, 29], 'chosen_arm': [45], 'payoff': [np.float64(12.41)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [14, 49], 'chosen_arm': [49], 'payoff': [np.float64(74.42)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(98.63)]}","{'assigned_arms': [23, 39], 'chosen_arm': [39], 'payoff': [np.float64(91.45)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(21.46)]}","{'assigned_arms': [32, 27], 'chosen_arm': [27], 'payoff': [np.float64(48.97)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(83.88)]}","{'assigned_arms': [5, 3], 'chosen_arm': [3], 'payoff': [np.float64(92.73)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(47.12)]}","{'assigned_arms': [4, 20], 'chosen_arm': [4], 'payoff': [np.float64(38.69)]}","{'assigned_arms': [33, 35], 'chosen_arm': [35], 'payoff': [np.float64(4.43)]}","{'assigned_arms': [47, 12], 'chosen_arm': [47], 'payoff': [np.float64(32.42)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(59.36)]}","{'assigned_arms': [18, 44], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [37, 26], 'chosen_arm': [26], 'payoff': [np.float64(91.06)]}",54.09666666666667
16,"{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(63.23)]}","{'assigned_arms': [48, 13, 3, 25, 17], 'chosen_arm': [3], 'payoff': [np.float64(87.91)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(24.81)]}","{'assigned_arms': [41], 'chosen_arm': [41], 'payoff': [np.float64(48.15)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(75.78)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(22.32)]}","{'assigned_arms': [9, 8], 'chosen_arm': [9], 'payoff': [np.float64(40.24)]}","{'assigned_arms': [5, 7], 'chosen_arm': [5], 'payoff': [np.float64(95.52)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(27.83)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(3.75)]}","{'assigned_arms': [6, 36], 'chosen_arm': [36], 'payoff': [np.float64(79.95)]}","{'assigned_arms': [20, 16], 'chosen_arm': [16], 'payoff': [np.float64(84.71)]}","{'assigned_arms': [12, 1, 40], 'chosen_arm': [1], 'payoff': [np.float64(77.84)]}","{'assigned_arms': [23, 42, 27, 28], 'chosen_arm': [42], 'payoff': [np.float64(26.18)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(96.51)]}","{'assigned_arms': [21, 44, 49], 'chosen_arm': [44], 'payoff': [np.float64(34.28)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(14.91)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(60.15)]}","{'assigned_arms': [10, 14], 'chosen_arm': [10], 'payoff': [np.float64(26.5)]}","{'assigned_arms': [18, 35], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(21.68)]}","{'assigned_arms': [43, 11], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(35.24)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(22.89)]}","{'assigned_arms': [37, 30], 'chosen_arm': [30], 'payoff': [np.float64(60.31)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(53.18)]}","{'assigned_arms': [46, 4], 'chosen_arm': [46], 'payoff': [np.float64(85.66)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(65.28)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(14.73)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(45.97)]}",53.183666666666674
17,"{'assigned_arms': [28, 31], 'chosen_arm': [28], 'payoff': [np.float64(66.32)]}","{'assigned_arms': [1, 5], 'chosen_arm': [5], 'payoff': [np.float64(86.57)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(52.97)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(84.4)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(27.34)]}","{'assigned_arms': [18, 24], 'chosen_arm': [18], 'payoff': [np.float64(95.55)]}","{'assigned_arms': [6, 26], 'chosen_arm': [26], 'payoff': [np.float64(92.63)]}","{'assigned_arms': [32, 12], 'chosen_arm': [12], 'payoff': [np.float64(79.67)]}","{'assigned_arms': [27, 41], 'chosen_arm': [27], 'payoff': [np.float64(46.37)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(55.94)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(85.6)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(71.86)]}","{'assigned_arms': [47, 19, 45], 'chosen_arm': [47], 'payoff': [np.float64(31.77)]}","{'assigned_arms': [38, 42], 'chosen_arm': [42], 'payoff': [np.float64(32.66)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(86.79)]}","{'assigned_arms': [0, 40, 17], 'chosen_arm': [17], 'payoff': [np.float64(95.21)]}","{'assigned_arms': [15, 35], 'chosen_arm': [15], 'payoff': [np.float64(11.18)]}","{'assigned_arms': [10, 11], 'chosen_arm': [10], 'payoff': [np.float64(25.18)]}","{'assigned_arms': [9, 13], 'chosen_arm': [9], 'payoff': [np.float64(42.6)]}","{'assigned_arms': [7, 8], 'chosen_arm': [8], 'payoff': [np.float64(65.36)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(65.63)]}","{'assigned_arms': [43, 37], 'chosen_arm': [43], 'payoff': [np.float64(91.58)]}","{'assigned_arms': [39, 46, 25], 'chosen_arm': [46], 'payoff': [np.float64(81.97)]}","{'assigned_arms': [4, 14], 'chosen_arm': [4], 'payoff': [np.float64(24.0)]}","{'assigned_arms': [33, 30], 'chosen_arm': [30], 'payoff': [np.float64(69.17)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(20.12)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(35.79)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(86.77)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(52.77)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(54.12)]}",60.59633333333332
18,"{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(68.32)]}","{'assigned_arms': [1, 27, 37], 'chosen_arm': [37], 'payoff': [np.float64(72.23)]}","{'assigned_arms': [24, 20], 'chosen_arm': [24], 'payoff': [np.float64(65.52)]}","{'assigned_arms': [6, 17, 21], 'chosen_arm': [17], 'payoff': [np.float64(97.1)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(29.95)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(3.36)]}","{'assigned_arms': [38, 29], 'chosen_arm': [29], 'payoff': [np.float64(13.54)]}","{'assigned_arms': [8, 36], 'chosen_arm': [36], 'payoff': [np.float64(86.81)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(84.53)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(22.89)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(95.65)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(27.68)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(83.5)]}","{'assigned_arms': [42], 'chosen_arm': [42], 'payoff': [np.float64(39.03)]}","{'assigned_arms': [49, 11, 15], 'chosen_arm': [11], 'payoff': [np.float64(11.43)]}","{'assigned_arms': [12, 14], 'chosen_arm': [12], 'payoff': [np.float64(69.05)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(41.49)]}","{'assigned_arms': [5, 22], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(49.36)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(87.8)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(31.31)]}","{'assigned_arms': [7, 33], 'chosen_arm': [7], 'payoff': [np.float64(49.03)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(40.03)]}","{'assigned_arms': [26, 2], 'chosen_arm': [26], 'payoff': [np.float64(93.82)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(23.06)]}","{'assigned_arms': [45, 43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [25, 13], 'chosen_arm': [13], 'payoff': [np.float64(7.02)]}","{'assigned_arms': [41, 18, 47], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [32, 19, 48], 'chosen_arm': [48], 'payoff': [np.float64(60.58)]}","{'assigned_arms': [30, 28], 'chosen_arm': [28], 'payoff': [np.float64(55.65)]}",56.99133333333334
19,"{'assigned_arms': [42, 11, 21], 'chosen_arm': [42], 'payoff': [np.float64(25.29)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [3, 40], 'chosen_arm': [40], 'payoff': [np.float64(26.48)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(62.94)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(24.16)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(82.15)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(50.96)]}","{'assigned_arms': [30, 27], 'chosen_arm': [27], 'payoff': [np.float64(60.37)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(77.91)]}","{'assigned_arms': [6, 41], 'chosen_arm': [41], 'payoff': [np.float64(52.81)]}","{'assigned_arms': [49, 25], 'chosen_arm': [49], 'payoff': [np.float64(82.4)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(21.97)]}","{'assigned_arms': [36, 24, 8], 'chosen_arm': [36], 'payoff': [np.float64(85.99)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(69.3)]}","{'assigned_arms': [9, 29], 'chosen_arm': [9], 'payoff': [np.float64(38.52)]}","{'assigned_arms': [5, 4], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(55.11)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(95.18)]}","{'assigned_arms': [34, 14], 'chosen_arm': [34], 'payoff': [np.float64(31.63)]}","{'assigned_arms': [13, 10, 35, 0], 'chosen_arm': [13], 'payoff': [np.float64(19.71)]}","{'assigned_arms': [22, 15], 'chosen_arm': [15], 'payoff': [np.float64(23.53)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(9.62)]}","{'assigned_arms': [46, 16], 'chosen_arm': [46], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(41.73)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(56.52)]}","{'assigned_arms': [38, 18], 'chosen_arm': [18], 'payoff': [np.float64(93.99)]}","{'assigned_arms': [33, 39], 'chosen_arm': [39], 'payoff': [np.float64(88.28)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(99.79)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(77.06)]}","{'assigned_arms': [19, 2, 31], 'chosen_arm': [19], 'payoff': [np.float64(38.45)]}",59.72833333333334
