,Agent_0,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Agent_6,Agent_7,Agent_8,Agent_9,Agent_10,Agent_11,Agent_12,Agent_13,Agent_14,Agent_15,Agent_16,Agent_17,Agent_18,Agent_19,Agent_20,Agent_21,Agent_22,Agent_23,Agent_24,Agent_25,Agent_26,Agent_27,Agent_28,Agent_29,Total_Payoff
10,"{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(86.63)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(83.59)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(56.25)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(55.22)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(76.17)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(25.15)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(94.44)]}","{'assigned_arms': [33, 34], 'chosen_arm': [34], 'payoff': [np.float64(42.27)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(83.42)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(80.12)]}","{'assigned_arms': [1, 44], 'chosen_arm': [1], 'payoff': [np.float64(81.08)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(19.97)]}","{'assigned_arms': [15, 18, 28, 41], 'chosen_arm': [18], 'payoff': [np.float64(97.34)]}","{'assigned_arms': [9, 43], 'chosen_arm': [43], 'payoff': [np.float64(98.6)]}","{'assigned_arms': [11, 29, 38], 'chosen_arm': [38], 'payoff': [np.float64(48.81)]}","{'assigned_arms': [12, 24, 26], 'chosen_arm': [24], 'payoff': [np.float64(58.02)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(40.42)]}","{'assigned_arms': [39], 'chosen_arm': [39], 'payoff': [np.float64(79.88)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(17.22)]}","{'assigned_arms': [17, 37], 'chosen_arm': [37], 'payoff': [np.float64(62.53)]}","{'assigned_arms': [14, 21, 22], 'chosen_arm': [14], 'payoff': [np.float64(9.96)]}","{'assigned_arms': [30, 35], 'chosen_arm': [35], 'payoff': [np.float64(12.09)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(12.34)]}","{'assigned_arms': [0, 5, 42, 48], 'chosen_arm': [5], 'payoff': [np.float64(97.58)]}","{'assigned_arms': [23, 25], 'chosen_arm': [23], 'payoff': [np.float64(67.85)]}","{'assigned_arms': [2, 40], 'chosen_arm': [2], 'payoff': [np.float64(57.93)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(21.69)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(35.66)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(9.94)]}","{'assigned_arms': [4, 8], 'chosen_arm': [4], 'payoff': [np.float64(34.92)]}",54.903000000000006
11,"{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(60.35)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(23.63)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(77.43)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(93.14)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(67.48)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(21.21)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(95.97)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(86.75)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(5.52)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(83.45)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(49.88)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(12.79)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(51.25)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(87.39)]}","{'assigned_arms': [26, 32, 46], 'chosen_arm': [46], 'payoff': [np.float64(77.76)]}","{'assigned_arms': [27, 34, 42], 'chosen_arm': [27], 'payoff': [np.float64(58.29)]}","{'assigned_arms': [15, 31, 39], 'chosen_arm': [39], 'payoff': [np.float64(80.41)]}","{'assigned_arms': [13, 37], 'chosen_arm': [13], 'payoff': [np.float64(11.91)]}","{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(57.98)]}","{'assigned_arms': [5, 8, 28, 29, 40], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [9, 11], 'chosen_arm': [9], 'payoff': [np.float64(40.15)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(34.95)]}","{'assigned_arms': [1, 3, 19, 24, 41], 'chosen_arm': [3], 'payoff': [np.float64(93.05)]}","{'assigned_arms': [23, 38], 'chosen_arm': [23], 'payoff': [np.float64(74.03)]}","{'assigned_arms': [25], 'chosen_arm': [25], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(32.92)]}","{'assigned_arms': [33, 44], 'chosen_arm': [44], 'payoff': [np.float64(46.51)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(49.36)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(29.62)]}","{'assigned_arms': [6, 14, 47], 'chosen_arm': [47], 'payoff': [np.float64(26.05)]}",54.30766666666666
12,"{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(6.13)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(82.78)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(60.61)]}","{'assigned_arms': [0], 'chosen_arm': [0], 'payoff': [np.float64(26.85)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(17.22)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(69.06)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(62.98)]}","{'assigned_arms': [12, 34], 'chosen_arm': [12], 'payoff': [np.float64(70.76)]}","{'assigned_arms': [25, 33], 'chosen_arm': [33], 'payoff': [np.float64(3.63)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(96.85)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(60.16)]}","{'assigned_arms': [2, 24], 'chosen_arm': [24], 'payoff': [np.float64(62.47)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(18.16)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(72.17)]}","{'assigned_arms': [14, 17, 26], 'chosen_arm': [26], 'payoff': [np.float64(87.09)]}","{'assigned_arms': [9, 11, 13, 38, 45], 'chosen_arm': [9], 'payoff': [np.float64(41.97)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(85.39)]}","{'assigned_arms': [10, 47], 'chosen_arm': [10], 'payoff': [np.float64(26.21)]}","{'assigned_arms': [7, 18], 'chosen_arm': [18], 'payoff': [np.float64(92.01)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(7.13)]}","{'assigned_arms': [36, 48], 'chosen_arm': [36], 'payoff': [np.float64(86.51)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(70.49)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(25.66)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(92.61)]}","{'assigned_arms': [5, 6], 'chosen_arm': [5], 'payoff': [np.float64(96.85)]}","{'assigned_arms': [22, 28], 'chosen_arm': [28], 'payoff': [np.float64(68.3)]}","{'assigned_arms': [16, 21, 44], 'chosen_arm': [16], 'payoff': [np.float64(89.61)]}","{'assigned_arms': [31, 41, 46], 'chosen_arm': [46], 'payoff': [np.float64(84.53)]}","{'assigned_arms': [4, 39], 'chosen_arm': [39], 'payoff': [np.float64(75.71)]}","{'assigned_arms': [15, 42], 'chosen_arm': [42], 'payoff': [np.float64(34.74)]}",59.154666666666664
13,"{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(71.4)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(42.22)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(18.67)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(16.9)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(57.19)]}","{'assigned_arms': [2, 5], 'chosen_arm': [5], 'payoff': [np.float64(98.73)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(42.06)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(43.05)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(20.6)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(14.4)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(82.46)]}","{'assigned_arms': [17, 20], 'chosen_arm': [17], 'payoff': [np.float64(98.56)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(54.29)]}","{'assigned_arms': [14, 44], 'chosen_arm': [44], 'payoff': [np.float64(34.11)]}","{'assigned_arms': [8, 25], 'chosen_arm': [8], 'payoff': [np.float64(58.18)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(13.23)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(39.5)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(85.26)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(98.14)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(7.27)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(20.78)]}","{'assigned_arms': [7, 39, 47], 'chosen_arm': [39], 'payoff': [np.float64(73.04)]}","{'assigned_arms': [0, 43, 48], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [1, 3, 6, 33], 'chosen_arm': [3], 'payoff': [np.float64(91.63)]}","{'assigned_arms': [19, 21, 30], 'chosen_arm': [30], 'payoff': [np.float64(58.59)]}","{'assigned_arms': [11, 28, 32, 36, 41], 'chosen_arm': [36], 'payoff': [np.float64(81.87)]}","{'assigned_arms': [49], 'chosen_arm': [49], 'payoff': [np.float64(72.87)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(28.5)]}","{'assigned_arms': [4, 26], 'chosen_arm': [26], 'payoff': [np.float64(95.87)]}","{'assigned_arms': [12, 37, 42], 'chosen_arm': [37], 'payoff': [np.float64(75.14)]}",56.483666666666664
14,"{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(62.86)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(61.15)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(14.56)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(87.83)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(37.55)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(97.79)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(35.96)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(32.24)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(66.91)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(36.6)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(22.04)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(56.29)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(54.22)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(81.92)]}","{'assigned_arms': [8, 38, 43], 'chosen_arm': [43], 'payoff': [np.float64(97.94)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(7.23)]}","{'assigned_arms': [14, 40], 'chosen_arm': [14], 'payoff': [np.float64(8.53)]}","{'assigned_arms': [6, 29, 48], 'chosen_arm': [48], 'payoff': [np.float64(55.04)]}","{'assigned_arms': [30, 31, 35, 37, 41], 'chosen_arm': [41], 'payoff': [np.float64(50.55)]}","{'assigned_arms': [39, 49], 'chosen_arm': [39], 'payoff': [np.float64(80.26)]}","{'assigned_arms': [22, 25], 'chosen_arm': [22], 'payoff': [np.float64(55.9)]}","{'assigned_arms': [2, 47], 'chosen_arm': [2], 'payoff': [np.float64(65.01)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(91.98)]}","{'assigned_arms': [11, 36, 42], 'chosen_arm': [36], 'payoff': [np.float64(95.66)]}","{'assigned_arms': [17, 23], 'chosen_arm': [17], 'payoff': [np.float64(98.64)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(98.4)]}","{'assigned_arms': [15, 28], 'chosen_arm': [28], 'payoff': [np.float64(65.3)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(79.97)]}","{'assigned_arms': [0, 12, 26, 33, 34], 'chosen_arm': [26], 'payoff': [np.float64(97.64)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(10.65)]}",60.22066666666668
15,"{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(13.74)]}","{'assigned_arms': [37], 'chosen_arm': [37], 'payoff': [np.float64(76.28)]}","{'assigned_arms': [17], 'chosen_arm': [17], 'payoff': [np.float64(99.35)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(72.66)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(28.33)]}","{'assigned_arms': [48], 'chosen_arm': [48], 'payoff': [np.float64(68.68)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(37.17)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(35.44)]}","{'assigned_arms': [26], 'chosen_arm': [26], 'payoff': [np.float64(87.41)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(94.84)]}","{'assigned_arms': [6, 14, 27], 'chosen_arm': [27], 'payoff': [np.float64(52.42)]}","{'assigned_arms': [11, 16, 18, 20], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [7, 36, 38, 41], 'chosen_arm': [36], 'payoff': [np.float64(91.61)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(11.88)]}","{'assigned_arms': [15, 49], 'chosen_arm': [49], 'payoff': [np.float64(65.28)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(77.99)]}","{'assigned_arms': [0, 21, 22, 30, 31, 42], 'chosen_arm': [21], 'payoff': [np.float64(35.17)]}","{'assigned_arms': [12, 13, 47], 'chosen_arm': [12], 'payoff': [np.float64(64.9)]}","{'assigned_arms': [2, 23, 25, 39], 'chosen_arm': [2], 'payoff': [np.float64(62.69)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(35.49)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(43.32)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(63.58)]}","{'assigned_arms': [1, 10], 'chosen_arm': [1], 'payoff': [np.float64(80.19)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(63.33)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(65.21)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(0.48)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(33.03)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(85.74)]}",58.207
16,"{'assigned_arms': [2], 'chosen_arm': [2], 'payoff': [np.float64(76.93)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(22.61)]}","{'assigned_arms': [7], 'chosen_arm': [7], 'payoff': [np.float64(42.87)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(64.12)]}","{'assigned_arms': [47], 'chosen_arm': [47], 'payoff': [np.float64(16.49)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(81.01)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(22.41)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(93.46)]}","{'assigned_arms': [23], 'chosen_arm': [23], 'payoff': [np.float64(70.28)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(78.24)]}","{'assigned_arms': [33, 40], 'chosen_arm': [33], 'payoff': [np.float64(8.35)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(49.63)]}","{'assigned_arms': [28, 44], 'chosen_arm': [44], 'payoff': [np.float64(42.72)]}","{'assigned_arms': [15], 'chosen_arm': [15], 'payoff': [np.float64(6.16)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(85.34)]}","{'assigned_arms': [41, 43], 'chosen_arm': [43], 'payoff': [np.float64(93.01)]}","{'assigned_arms': [10, 14, 39, 42, 46], 'chosen_arm': [46], 'payoff': [np.float64(85.24)]}","{'assigned_arms': [17, 38], 'chosen_arm': [17], 'payoff': [np.float64(95.83)]}","{'assigned_arms': [25, 35, 37, 48], 'chosen_arm': [48], 'payoff': [np.float64(51.59)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(26.57)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(44.25)]}","{'assigned_arms': [21, 49], 'chosen_arm': [49], 'payoff': [np.float64(77.84)]}","{'assigned_arms': [6, 8], 'chosen_arm': [6], 'payoff': [np.float64(56.91)]}","{'assigned_arms': [4, 12, 26], 'chosen_arm': [26], 'payoff': [np.float64(85.65)]}","{'assigned_arms': [5, 32], 'chosen_arm': [5], 'payoff': [np.float64(98.78)]}","{'assigned_arms': [19, 30], 'chosen_arm': [19], 'payoff': [np.float64(27.03)]}","{'assigned_arms': [9, 27, 29], 'chosen_arm': [27], 'payoff': [np.float64(62.9)]}","{'assigned_arms': [11], 'chosen_arm': [11], 'payoff': [np.float64(2.87)]}","{'assigned_arms': [0, 20], 'chosen_arm': [0], 'payoff': [np.float64(26.85)]}",56.531333333333336
17,"{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(6.99)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(4.42)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(70.52)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(72.91)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(14.2)]}","{'assigned_arms': [2, 5], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [34, 40, 41], 'chosen_arm': [41], 'payoff': [np.float64(45.74)]}","{'assigned_arms': [24], 'chosen_arm': [24], 'payoff': [np.float64(64.52)]}","{'assigned_arms': [3, 43, 47], 'chosen_arm': [43], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [25, 39], 'chosen_arm': [39], 'payoff': [np.float64(75.08)]}","{'assigned_arms': [20], 'chosen_arm': [20], 'payoff': [np.float64(10.21)]}","{'assigned_arms': [10], 'chosen_arm': [10], 'payoff': [np.float64(32.39)]}","{'assigned_arms': [7, 32], 'chosen_arm': [32], 'payoff': [np.float64(66.28)]}","{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [36], 'chosen_arm': [36], 'payoff': [np.float64(82.64)]}","{'assigned_arms': [11, 15], 'chosen_arm': [11], 'payoff': [np.float64(18.56)]}","{'assigned_arms': [23, 37], 'chosen_arm': [37], 'payoff': [np.float64(73.9)]}","{'assigned_arms': [16, 48], 'chosen_arm': [16], 'payoff': [np.float64(88.5)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(96.9)]}","{'assigned_arms': [14, 42, 44], 'chosen_arm': [44], 'payoff': [np.float64(37.81)]}","{'assigned_arms': [28, 49], 'chosen_arm': [49], 'payoff': [np.float64(80.71)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(39.16)]}","{'assigned_arms': [22, 30], 'chosen_arm': [30], 'payoff': [np.float64(53.71)]}","{'assigned_arms': [1, 4, 17, 26], 'chosen_arm': [17], 'payoff': [np.float64(97.54)]}","{'assigned_arms': [9, 29], 'chosen_arm': [9], 'payoff': [np.float64(31.99)]}","{'assigned_arms': [0, 27], 'chosen_arm': [27], 'payoff': [np.float64(54.16)]}","{'assigned_arms': [35], 'chosen_arm': [35], 'payoff': [np.float64(3.36)]}","{'assigned_arms': [6, 21], 'chosen_arm': [6], 'payoff': [np.float64(50.42)]}","{'assigned_arms': [46], 'chosen_arm': [46], 'payoff': [np.float64(75.96)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(27.47)]}",52.535000000000004
18,"{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(47.65)]}","{'assigned_arms': [30], 'chosen_arm': [30], 'payoff': [np.float64(60.49)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(77.78)]}","{'assigned_arms': [14], 'chosen_arm': [14], 'payoff': [np.float64(3.87)]}","{'assigned_arms': [27], 'chosen_arm': [27], 'payoff': [np.float64(52.37)]}","{'assigned_arms': [5], 'chosen_arm': [5], 'payoff': [np.float64(100.0)]}","{'assigned_arms': [16], 'chosen_arm': [16], 'payoff': [np.float64(87.23)]}","{'assigned_arms': [19, 22], 'chosen_arm': [22], 'payoff': [np.float64(49.58)]}","{'assigned_arms': [10, 37], 'chosen_arm': [37], 'payoff': [np.float64(67.82)]}","{'assigned_arms': [34], 'chosen_arm': [34], 'payoff': [np.float64(56.0)]}","{'assigned_arms': [31, 32, 33], 'chosen_arm': [31], 'payoff': [np.float64(27.01)]}","{'assigned_arms': [13], 'chosen_arm': [13], 'payoff': [np.float64(8.34)]}","{'assigned_arms': [6, 7, 44, 46], 'chosen_arm': [46], 'payoff': [np.float64(83.13)]}","{'assigned_arms': [28], 'chosen_arm': [28], 'payoff': [np.float64(72.01)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(71.51)]}","{'assigned_arms': [35, 45], 'chosen_arm': [45], 'payoff': [np.float64(16.04)]}","{'assigned_arms': [26, 47], 'chosen_arm': [26], 'payoff': [np.float64(94.55)]}","{'assigned_arms': [0, 42, 43], 'chosen_arm': [43], 'payoff': [np.float64(83.06)]}","{'assigned_arms': [25, 48], 'chosen_arm': [48], 'payoff': [np.float64(56.6)]}","{'assigned_arms': [3], 'chosen_arm': [3], 'payoff': [np.float64(91.49)]}","{'assigned_arms': [20, 49], 'chosen_arm': [49], 'payoff': [np.float64(75.49)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(21.92)]}","{'assigned_arms': [4, 17, 18], 'chosen_arm': [18], 'payoff': [np.float64(99.21)]}","{'assigned_arms': [23, 41], 'chosen_arm': [23], 'payoff': [np.float64(70.1)]}","{'assigned_arms': [8, 36], 'chosen_arm': [36], 'payoff': [np.float64(85.89)]}","{'assigned_arms': [24, 39], 'chosen_arm': [24], 'payoff': [np.float64(66.43)]}","{'assigned_arms': [21], 'chosen_arm': [21], 'payoff': [np.float64(32.9)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(9.05)]}","{'assigned_arms': [2, 38], 'chosen_arm': [38], 'payoff': [np.float64(40.38)]}","{'assigned_arms': [11, 15], 'chosen_arm': [11], 'payoff': [np.float64(0.35)]}",56.94166666666668
19,"{'assigned_arms': [33], 'chosen_arm': [33], 'payoff': [np.float64(0.0)]}","{'assigned_arms': [45], 'chosen_arm': [45], 'payoff': [np.float64(11.99)]}","{'assigned_arms': [9], 'chosen_arm': [9], 'payoff': [np.float64(42.44)]}","{'assigned_arms': [38], 'chosen_arm': [38], 'payoff': [np.float64(40.75)]}","{'assigned_arms': [8], 'chosen_arm': [8], 'payoff': [np.float64(67.52)]}","{'assigned_arms': [1], 'chosen_arm': [1], 'payoff': [np.float64(85.62)]}","{'assigned_arms': [2, 16], 'chosen_arm': [16], 'payoff': [np.float64(82.14)]}","{'assigned_arms': [11, 17, 47], 'chosen_arm': [17], 'payoff': [np.float64(99.01)]}","{'assigned_arms': [6], 'chosen_arm': [6], 'payoff': [np.float64(54.52)]}","{'assigned_arms': [40], 'chosen_arm': [40], 'payoff': [np.float64(16.75)]}","{'assigned_arms': [29], 'chosen_arm': [29], 'payoff': [np.float64(9.22)]}","{'assigned_arms': [24, 26, 30], 'chosen_arm': [26], 'payoff': [np.float64(87.9)]}","{'assigned_arms': [7, 34, 46], 'chosen_arm': [46], 'payoff': [np.float64(85.28)]}","{'assigned_arms': [18], 'chosen_arm': [18], 'payoff': [np.float64(96.68)]}","{'assigned_arms': [3, 28], 'chosen_arm': [3], 'payoff': [np.float64(94.78)]}","{'assigned_arms': [27, 49], 'chosen_arm': [49], 'payoff': [np.float64(80.09)]}","{'assigned_arms': [43], 'chosen_arm': [43], 'payoff': [np.float64(87.84)]}","{'assigned_arms': [0, 36], 'chosen_arm': [36], 'payoff': [np.float64(87.27)]}","{'assigned_arms': [5, 14, 15, 39, 42], 'chosen_arm': [5], 'payoff': [np.float64(90.41)]}","{'assigned_arms': [20, 25, 48], 'chosen_arm': [20], 'payoff': [np.float64(16.99)]}","{'assigned_arms': [13, 37], 'chosen_arm': [37], 'payoff': [np.float64(70.81)]}","{'assigned_arms': [22], 'chosen_arm': [22], 'payoff': [np.float64(53.86)]}","{'assigned_arms': [4], 'chosen_arm': [4], 'payoff': [np.float64(34.54)]}","{'assigned_arms': [10, 23, 35], 'chosen_arm': [23], 'payoff': [np.float64(70.68)]}","{'assigned_arms': [32], 'chosen_arm': [32], 'payoff': [np.float64(77.43)]}","{'assigned_arms': [21, 41], 'chosen_arm': [21], 'payoff': [np.float64(38.79)]}","{'assigned_arms': [19], 'chosen_arm': [19], 'payoff': [np.float64(30.0)]}","{'assigned_arms': [44], 'chosen_arm': [44], 'payoff': [np.float64(41.29)]}","{'assigned_arms': [31], 'chosen_arm': [31], 'payoff': [np.float64(22.5)]}","{'assigned_arms': [12], 'chosen_arm': [12], 'payoff': [np.float64(72.8)]}",58.330000000000005
