,iteration,sender,receiver,message
121,4,Agent_1,Agent_15,Arm 28 gave me 61.95 in Round 2.
122,4,Agent_2,Agent_12,Arm 48 gave me 66.81
123,4,Agent_3,Agent_18,Arm 5 = 100
124,4,Agent_4,Agent_26,"Try arm 17, high reward."
125,4,Agent_5,Agent_18,Arm 5: 92.04
126,4,Agent_6,Agent_14,Arm 32 gave me high reward.
127,4,Agent_7,Agent_20,Arm 41 is good.
128,4,Agent_8,Agent_24,8: 69.05
129,4,Agent_9,Agent_2,Arm 46 gave 77.26
130,4,Agent_10,Agent_28,Arms 6 (58.91) and 37 (74.71) are good.
131,4,Agent_11,Agent_23,Arm 39 has given high reward.
132,4,Agent_12,Agent_14,Arm 32 gave 67.55
133,4,Agent_13,Agent_24,Arm 49 is high (83.23).
134,4,Agent_14,Agent_28,Arm 12 gave 78.02
135,4,Agent_15,Agent_14,Arm 1 yields ~75.
136,4,Agent_16,Agent_23,Arm 47 is good.
137,4,Agent_17,Agent_16,Arm 18 was great (93.87)
138,4,Agent_18,Agent_28,Arm 36 is good (92-97)
139,4,Agent_19,Agent_18,Arm 36 is good.
140,4,Agent_20,Agent_23,Arm 39 good (82.18).
141,4,Agent_21,Agent_15,"Arm 27 gave 59.22, try 28."
142,4,Agent_22,Agent_14,Arm 32 is good (79.62).
143,4,Agent_23,Agent_20,Arm 47 gave me 30.93; 41 might be similar.
144,4,Agent_24,Agent_29,Arm 15 has low reward.
145,4,Agent_25,Agent_18,Arm 2: 66.55
146,4,Agent_26,Agent_28,Arm 6: 45.65
147,4,Agent_27,Agent_18,Arm 42 gave me 35.59
148,4,Agent_28,Agent_13,30:64.00
149,4,Agent_29,Agent_24,Arm 7 is good.
150,5,Agent_0,Agent_21,Arm 37 gave 71.44 in round 3.
151,5,Agent_1,Agent_11,"Arm 16 is good, try it"
152,5,Agent_2,Agent_11,Arm 16 reward: 85.96
153,5,Agent_3,Agent_29,Arm 25=0
154,5,Agent_4,Agent_0,"Try arm 17, high reward"
155,5,Agent_5,Agent_9,"Arm 1 has high reward, consider pulling it."
156,5,Agent_6,Agent_11,Arm 32: 72.75
157,5,Agent_7,Agent_9,"Arm 41 is good, high reward."
158,5,Agent_8,Agent_9,"Arm 44 has avg reward ~42, try others."
159,5,Agent_9,Agent_10,Arm 46 gave me 77.26.
160,5,Agent_10,Agent_19,Arm 33 is bad
161,5,Agent_11,Agent_25,Arm 39 gave 86.00.
162,5,Agent_12,Agent_21,Arm 48: 58.07. Your 47?
163,5,Agent_13,Agent_28,Try arm 2
164,5,Agent_14,Agent_11,Arm 32 is promising.
165,5,Agent_15,Agent_9,Arm 1 avg 75.32
166,5,Agent_16,Agent_15,18 is good (84.22)
167,5,Agent_17,Agent_15,"Arm 18 gave me 93.87, try it!"
168,5,Agent_18,Agent_29,Arm 25 has low reward.
169,5,Agent_19,Agent_7,Arm 31: 19.07
170,5,Agent_20,Agent_12,Arm 48 has high rewards.
171,5,Agent_21,Agent_9,Arm 43 gave 90.62 in Round 4.
172,5,Agent_22,Agent_7,Arm 31 gives 19.58
173,5,Agent_23,Agent_21,37 is good (75.91)
174,5,Agent_24,Agent_9,Arm 44 is good (37.76)
175,5,Agent_25,Agent_28,Arms 2 and 30 are good.
176,5,Agent_26,Agent_29,"Arm 25 gave me 0, avoid if possible."
177,5,Agent_27,Agent_28,Arm 30 has high reward
178,5,Agent_28,Agent_21,Arm 37: 75.63
179,5,Agent_29,Agent_15,Arm 35 low reward (3.88)
180,6,Agent_0,Agent_20,Arm 37: 71.44
181,6,Agent_1,Agent_22,16 is good (84.09).
182,6,Agent_2,Agent_20,Arm 48 gave me 66.81. Good!
183,6,Agent_3,Agent_13,arm 25 gave me 0 twice
184,6,Agent_4,Agent_23,Arm 29 gave me low reward (7.68). Avoid it.
185,6,Agent_5,Agent_3,Arm 5 high reward (92.04)
186,6,Agent_6,Agent_24,"Arm 32 gave 72.75, focus on it."
187,6,Agent_7,Agent_18,Arm 41: 53.79
188,6,Agent_8,Agent_0,"Arm 26 is high, 95.10 in round 4"
189,6,Agent_9,Agent_21,"Arm 43 gave me 98.12, consider pulling it."
190,6,Agent_10,Agent_3,Try arm 46
191,6,Agent_11,Agent_26,Arm 16 has high rewards recently.
192,6,Agent_12,Agent_20,"Arm 39 gave me 82.39, high reward."
193,6,Agent_13,Agent_19,Arm 46 gave me 78.50 last time.
194,6,Agent_14,Agent_24,Arm 32: 80.10
195,6,Agent_15,Agent_26,Arm 18 gave 96.88 last round.'
196,6,Agent_16,Agent_26,"Arm 18 gave me 84.22, pull it"
197,6,Agent_17,Agent_26,18=93.87
198,6,Agent_18,Agent_13,"Arm 25 gave me 5.00, might be low."
199,6,Agent_19,Agent_13,Arm 31 gave me 19.07.
200,6,Agent_20,Agent_21,Arm 10 low (20.79)
201,6,Agent_21,Agent_23,Arm 27 gave me 59.22 in round 0.
202,6,Agent_22,Agent_24,Arm 32 is good
203,6,Agent_23,Agent_20,"Arms 37,39 good (75.91,74.17)"
204,6,Agent_24,Agent_17,Arm 15 low reward
205,6,Agent_25,Agent_15,Avoid 45.
206,6,Agent_26,Agent_13,"Try arm 6, got 45.65."
207,6,Agent_27,Agent_20,"Pull arm 30, high reward last time."
208,6,Agent_28,Agent_20,Arm 37 is good
209,6,Agent_29,Agent_11,Arm 7 is high reward.
210,7,Agent_0,Agent_12,Arm 32 gave 78.22
211,7,Agent_1,Agent_18,Arm 6 good
212,7,Agent_2,Agent_9,"Arm 16 gave me 85.96, good option."
213,7,Agent_3,Agent_14,Arm 25 is bad. Avoid it.
214,7,Agent_4,Agent_18,"Arm 17 good (88.75, 95.58)"
215,7,Agent_5,Agent_21,"Pull arm 1, high reward"
216,7,Agent_6,Agent_12,Arm 32 reward 72.75
217,7,Agent_7,Agent_27,"Try arm 26, high past reward"
218,7,Agent_8,Agent_14,Try arm 3.
219,7,Agent_9,Agent_21,Pull arm 43
220,7,Agent_10,Agent_19,Try 100
221,7,Agent_11,Agent_16,Arm 29 gave me 5.38.'
222,7,Agent_12,Agent_27,"Arm 33 gave me 0 last round, avoid it."
223,7,Agent_13,Agent_12,Try arm 48.
224,7,Agent_14,Agent_12,Arm 32 rewards well (80.10)
225,7,Agent_15,Agent_19,Arm 1 consistently high rewards (74-80)
226,7,Agent_16,Agent_17,Arm 19 gave 38.59 in round 5.
227,7,Agent_17,Agent_21,Arm 35 has low reward (4.43)
228,7,Agent_18,Agent_14,"Avoid arm 25, low reward."
229,7,Agent_19,Agent_18,"Stick with Arm 36, high reward history."
230,7,Agent_20,Agent_17,Arm 10 gave me 20.79. Avoid.
231,7,Agent_21,Agent_10,Arm 37 gave ~68.18 in round 5.
232,7,Agent_22,Agent_27,"Focus on arm 8, good reward."
233,7,Agent_23,Agent_10,Arm 37 gave me 75.91 in round 0.
234,7,Agent_24,Agent_12,"Arm 32 has high rewards, consider pulling it again."
235,7,Agent_25,Agent_20,Arm 39: high reward (80.34)
236,7,Agent_26,Agent_14,"Arm 25 is bad, reward 0."
237,7,Agent_27,Agent_18,Arm 17 gave me 85.58 in Round 6.
238,7,Agent_28,Agent_10,Pull 37
239,7,Agent_29,Agent_28,Arm 7 is consistently high.
240,8,Agent_0,Agent_23,Arm 32: 78.22
241,8,Agent_1,Agent_24,Arm 21 ~38.86 avg
242,8,Agent_2,Agent_18,Arm 42 better than 14 (45.15 vs 15.36)
243,8,Agent_3,Agent_6,Arm 25 gave me 0 twice. Avoid next round.
244,8,Agent_4,Agent_16,"Pull arm 17 for high rewards (88.75, 95.58)."
245,8,Agent_5,Agent_21,Arm 2 gave high reward (92.04) in Round 2
246,8,Agent_6,Agent_23,Arm 32 good (72.75).
247,8,Agent_7,Agent_18,"Avoid arm 14, low reward (6.52 in round 4)"
248,8,Agent_8,Agent_22,"Try arm 26, it gave 95.10 last time."
249,8,Agent_9,Agent_21,Arm 43 is good
250,8,Agent_10,Agent_3,Arm 46 has high rewards
251,8,Agent_11,Agent_28,Arm 23 is good
252,8,Agent_12,Agent_3,"Try arm 32, high rewards."
253,8,Agent_13,Agent_14,Pull arm 45
254,8,Agent_14,Agent_23,Arm 32 is good (80.10).
255,8,Agent_15,Agent_17,Arm 18: 96.88.
256,8,Agent_16,Agent_17,Arm 18 gave 100 last round.
257,8,Agent_17,Agent_22,"Avoid arm 35, low reward"
258,8,Agent_18,Agent_20,Arm 36 is good.
259,8,Agent_19,Agent_22,"Avoid arm 31, low reward"
260,8,Agent_20,Agent_19,Arm 48 gave 54.14
261,8,Agent_21,Agent_18,Arm 37 gave me 68.18 in round 5.
262,8,Agent_22,Agent_14,Try arm 45
263,8,Agent_23,Agent_18,37 rewarded me 75.91
264,8,Agent_24,Agent_23,Pull arm 32'
265,8,Agent_25,Agent_20,Arm 39 gave 80.34
266,8,Agent_26,Agent_1,Arm 26 is good (87.09)
267,8,Agent_27,Agent_22,Arm 30 is good.
268,8,Agent_28,Agent_18,Arm 37: 75.63
269,8,Agent_29,Agent_14,Arm 7 is good (avg ~52)
270,9,Agent_0,Agent_28,Arm 28 gave 70.55
271,9,Agent_1,Agent_26,"Pull arm 26, max reward."
272,9,Agent_2,Agent_5,46 is good.
273,9,Agent_3,Agent_14,Arm 24 is good (66.29)
274,9,Agent_4,Agent_24,"Arm 29 reward was low (7.68), consider switching."
275,9,Agent_5,Agent_18,Arm 45 gave low reward (7.50).
276,9,Agent_6,Agent_26,"Arm 26 gave 93.62, pull it again!"
277,9,Agent_7,Agent_27,Arm 14 gave low reward (6.52). Consider switching.
278,9,Agent_8,Agent_26,Arm 26 was 95.10!
279,9,Agent_9,Agent_12,Arm 11 reward: 6.80
280,9,Agent_10,Agent_2,Arm 46 consistently gives high rewards.
281,9,Agent_11,Agent_17,Arm 16 consistently high (78-84). Your data?
282,9,Agent_12,Agent_26,"Avoid arm 33, gave 0 last time."
283,9,Agent_13,Agent_1,Arm 38 reward is low.
284,9,Agent_14,Agent_5,Arm 45 is low.
285,9,Agent_15,Agent_17,Arm 18 is good
286,9,Agent_16,Agent_17,Arm 18 gives 100!
287,9,Agent_17,Agent_13,"Arm 35 gave 4.43, avoid."
288,9,Agent_18,Agent_10,"Try arm 5, reward was 100.00."
289,9,Agent_19,Agent_18,Arm 36 gives high reward.
290,9,Agent_20,Agent_17,Arm 41 reward was 41.28
291,9,Agent_21,Agent_0,37 ~68
292,9,Agent_22,Agent_12,"Arm 11 low (3.92, 11.58)"
293,9,Agent_23,Agent_12,Arm 32 is good.
294,9,Agent_24,Agent_13,Arm 49: high reward (85.50).
295,9,Agent_25,Agent_20,Arm 39 is good
296,9,Agent_26,Agent_17,Arm 18 is very good (90.07).
297,9,Agent_27,Agent_26,"Avoid Arm 33, low reward"
298,9,Agent_28,Agent_15,"Arm 23 is good, reward ~64.81"
299,9,Agent_29,Agent_14,Pull arm 24
300,10,Agent_0,Agent_7,Pull arm 23 again. Rewarded me with 68.21.
301,10,Agent_1,Agent_25,Arm 26 is high reward.
302,10,Agent_2,Agent_8,"Arm 46: 89.30, 81.86 last two rounds."
303,10,Agent_3,Agent_15,"Arm 25 is bad, got 0 twice"
304,10,Agent_4,Agent_18,Arm 17 gives high rewards.'
305,10,Agent_5,Agent_20,"Avoid arm 45, low rewards."
306,10,Agent_6,Agent_25,Arm 26 = 93.62
307,10,Agent_7,Agent_25,Arm 26 was good for me (85.70).
308,10,Agent_8,Agent_22,What's your reward for arm 44?
309,10,Agent_9,Agent_23,Pull arm 41 instead of 0.
310,10,Agent_10,Agent_8,Arm 46 is good.
311,10,Agent_11,Agent_25,Arm 12: 78.63
312,10,Agent_12,Agent_4,Arm 32 has consistently high rewards.
313,10,Agent_13,Agent_23,Arm 0 bad (36.09)
314,10,Agent_14,Agent_12,Arm 32 is good (~80)
315,10,Agent_15,Agent_17,Arm 18 is good
316,10,Agent_16,Agent_18,Arm 17 gave me 90.74
317,10,Agent_17,Agent_14,Arm 35 gave me 4.43
318,10,Agent_18,Agent_15,"Avoid arm 25, got 5.00"
319,10,Agent_19,Agent_13,Arm 48 avg 61.42
320,10,Agent_20,Agent_23,arm 39 is good
321,10,Agent_21,Agent_27,"Avoid arm 20, low reward."
322,10,Agent_22,Agent_11,"Pull arm 16, got 85.67 last time."
323,10,Agent_23,Agent_10,Arm 37 reward 75.91
324,10,Agent_24,Agent_23,Try arm 49.
325,10,Agent_25,Agent_9,34 = 40.32
326,10,Agent_26,Agent_15,"Avoid arm 25, got 0.00 in round 3"
327,10,Agent_27,Agent_5,Arm 33 has low reward (4.72).
328,10,Agent_28,Agent_15,Arm 28 gave 64.97 last round.
329,10,Agent_29,Agent_15,"Arm 24 is great, reward 64.50"
330,11,Agent_0,Agent_16,"Arm 23 gave me 68.21, high potential."
331,11,Agent_1,Agent_20,Pull arm 26.
332,11,Agent_2,Agent_17,Try arm 42 instead of 47.
333,11,Agent_3,Agent_12,24 is good
334,11,Agent_4,Agent_3,Arm 5 is high reward! Keep pulling it.
335,11,Agent_5,Agent_12,Arm 33 is bad (2.71)
336,11,Agent_6,Agent_20,Arm 26 is good.
337,11,Agent_7,Agent_20,Arm 26 gave me 85.70.
338,11,Agent_8,Agent_21,Arm 40 is low reward.
339,11,Agent_9,Agent_3,Arm 5 gave 100 in round 9.
340,11,Agent_10,Agent_15,"Pull arm 1, 78"
341,11,Agent_11,Agent_20,Arm 39 is high
342,11,Agent_12,Agent_20,Arm 39 is high (~82)
343,11,Agent_13,Agent_27,Try arm 49
344,11,Agent_14,Agent_2,Arm 45 has low reward (11.27).'
345,11,Agent_15,Agent_0,"Arm 1 avg reward ~74, try it."
346,11,Agent_16,Agent_17,Arm 18 is high reward!
347,11,Agent_17,Agent_4,"Arm 17 has high rewards (89.54, 92.12)."
348,11,Agent_18,Agent_23,Arm 7 gives ~47.80
349,11,Agent_19,Agent_12,Arm 33: low reward
350,11,Agent_20,Agent_29,Arm 48 gave 54.14
351,11,Agent_21,Agent_23,Arm 27 gave me 59.22
352,11,Agent_22,Agent_23,Arm 8 ~69.39
353,11,Agent_23,Agent_20,"Pull arm 39, high reward."
354,11,Agent_24,Agent_12,Arm 29 is low.
355,11,Agent_25,Agent_20,Arm 26 is high
356,11,Agent_26,Agent_16,Arm 25 reward: 0.00
357,11,Agent_27,Agent_12,Avoid arm 33
358,11,Agent_28,Agent_21,Arm 30 is good'
359,11,Agent_29,Agent_12,Arm 24 high reward
360,12,Agent_0,Agent_12,Arm 32 high ~78.
361,12,Agent_1,Agent_26,Arm 14 reward was 5.26. Avoid.
362,12,Agent_2,Agent_10,Try arm 28
363,12,Agent_3,Agent_10,"Try arm 5, consistently high rewards."
364,12,Agent_4,Agent_1,"Try arm 17, consistent high rewards."
365,12,Agent_5,Agent_26,"Avoid arm 45, low rewards"
366,12,Agent_6,Agent_7,"Pull 26, high reward!"
367,12,Agent_7,Agent_27,Arm 23 gave me 68.80 last time
368,12,Agent_8,Agent_7,"Arm 26 had high reward (95.10), prioritize it"
369,12,Agent_9,Agent_26,Arm 5 gave high reward
370,12,Agent_10,Agent_23,Arm 46 consistently ~80s
371,12,Agent_11,Agent_10,"Try arm 16, it's consistently high"
372,12,Agent_12,Agent_20,Arm 39 is great (82.39)!
373,12,Agent_13,Agent_5,49 works well
374,12,Agent_14,Agent_26,"Avoid arm 45, low reward."
375,12,Agent_15,Agent_17,Arm 18 was good last time. Try it again.
376,12,Agent_16,Agent_17,18 is high.
377,12,Agent_17,Agent_22,Low reward on 35.
378,12,Agent_18,Agent_9,"Arm 5 is great (92.86, 100.00).'"
379,12,Agent_19,Agent_25,Arm 46 has high rewards.
380,12,Agent_20,Agent_22,"Avoid arm 10 (20.79), use 48"
381,12,Agent_21,Agent_10,Try arm 43.
382,12,Agent_22,Agent_29,Arm 23 is good
383,12,Agent_23,Agent_20,39 is good
384,12,Agent_24,Agent_26,"Try arm 45, high reward potential."
385,12,Agent_25,Agent_7,Pull arm 26
386,12,Agent_26,Agent_17,Arm 18 is good (90.07)
387,12,Agent_27,Agent_7,Arm 33 low. Try 17 or 12.'
388,12,Agent_28,Agent_16,Arm 12 reward: 78.60
389,12,Agent_29,Agent_28,Arm 38 is good
390,13,Agent_0,Agent_1,Try arm 37 for higher rewards.
391,13,Agent_1,Agent_29,Try arm 50 instead of 14. It might be better.
392,13,Agent_2,Agent_19,Arm 46 is good.
393,13,Agent_3,Agent_18,Arm 5 is great!
394,13,Agent_4,Agent_18,"Arm 17 avg reward 93.73, pull it again"
395,13,Agent_5,Agent_19,"Arm 46 gave me 88.55, consider pulling it again."
396,13,Agent_6,Agent_1,Arm 32 has high rewards for me. Try it!
397,13,Agent_7,Agent_0,Arm 37 gave me 70.
398,13,Agent_8,Agent_19,Pull arm 46
399,13,Agent_9,Agent_18,"Arm 5 has been good (100, 94.81)."
400,13,Agent_10,Agent_19,Arm 46 avg ~83.7
401,13,Agent_11,Agent_13,"Arm 16 avg ~80, recommend pulling."
402,13,Agent_12,Agent_28,"Arm 0 is bad, avoid it."
403,13,Agent_13,Agent_20,Pull arm 39
404,13,Agent_14,Agent_22,"Try arm 3, high rewards"
405,13,Agent_15,Agent_9,Arm 29 is low (~13.91)
406,13,Agent_16,Agent_17,Arm 18 gave me 100.00 in round 7.
407,13,Agent_17,Agent_24,Arm 18 ~90+. Pull if possible.
408,13,Agent_18,Agent_23,"Arm 25 is low (5), avoid."
409,13,Agent_19,Agent_17,"Arm 33 has low reward (~8.82), avoid if possible."
410,13,Agent_20,Agent_9,"Avoid arm 11, focus on 29."
411,13,Agent_21,Agent_27,Arm 43 often gives 100
412,13,Agent_22,Agent_28,Arm 23 is good (70.85).
413,13,Agent_23,Agent_20,"Arm 39 gave 74.17, pull it!"
414,13,Agent_24,Agent_13,Arm 49 avg ~80.
415,13,Agent_25,Agent_20,"Arm 39 is good (80.34, r5)"
416,13,Agent_26,Agent_23,"Avoid arm 25, got 0 reward."
417,13,Agent_27,Agent_18,Arm 17 is good
418,13,Agent_28,Agent_25,Arm 28 is good (64.97)
419,13,Agent_29,Agent_4,Arm 24 is good.'
420,14,Agent_0,Agent_12,Arm 32 gave me 78.22. Keep pulling it!
421,14,Agent_1,Agent_24,"Try arm 26, high reward."
422,14,Agent_2,Agent_3,Try arm 46 for high reward!
423,14,Agent_3,Agent_23,Arm 25 is bad. Avoid.
424,14,Agent_4,Agent_12,Arm 17 consistently high reward.
425,14,Agent_5,Agent_10,Arm 46 gave 88.55 in round 11.
426,14,Agent_6,Agent_26,Arm 26: 93.62
427,14,Agent_7,Agent_26,"Arm 26 is high reward, ~85"
428,14,Agent_8,Agent_17,Try arm 7 instead of 40. Low reward before.
429,14,Agent_9,Agent_3,Arm 5 is great.
430,14,Agent_10,Agent_15,Arm 46 has consistent high rewards.
431,14,Agent_11,Agent_20,Arm 39 gave 86.00
432,14,Agent_12,Agent_7,"Try arm 32, high rewards (~70-80)"
433,14,Agent_13,Agent_27,Arm 30 has low reward.
434,14,Agent_14,Agent_28,Arm 45 low (~11)
435,14,Agent_15,Agent_22,"Arm 28 gave me ~67.6, try arm 8."
436,14,Agent_16,Agent_17,Arm 18 gave 100 before.
437,14,Agent_17,Agent_23,Arm 27 gave me 55.70
438,14,Agent_18,Agent_3,"Arm 5 is consistently good (rewards: 92.86, 100)"
439,14,Agent_19,Agent_10,"Arm 46 is consistently high, keep pulling.'"
440,14,Agent_20,Agent_1,"Try arm 39, consistent high rewards."
441,14,Agent_21,Agent_23,"Arm 27 gave me 59.22, might be good."
442,14,Agent_22,Agent_3,Avoid arm 11.
443,14,Agent_23,Agent_20,Arm 39 rewards ~74.
444,14,Agent_24,Agent_1,"Try arm 49, high rewards."
445,14,Agent_25,Agent_26,Arm 26 is good (86.50)
446,14,Agent_26,Agent_23,25 is bad
447,14,Agent_27,Agent_19,"Avoid arm 33, it's bad."
448,14,Agent_28,Agent_6,Arm 12 is good (78.60)
449,14,Agent_29,Agent_11,Arm 24 gave me 64.50
450,15,Agent_0,Agent_12,32 is great.
451,15,Agent_1,Agent_26,"Arm 26 gave me 99.79, great reward!"
452,15,Agent_2,Agent_10,"Arm 46 has been good (89.30, 81.86)."
453,15,Agent_3,Agent_11,Arm 25 is bad'
454,15,Agent_4,Agent_17,Arm 29 has low reward.
455,15,Agent_5,Agent_20,"Arm 45 has low rewards (7.50, 15.03). Avoid."
456,15,Agent_6,Agent_26,Arm 26 is great (93.62)
